,county,district_name,instruction,support,community,other,sum,year
242,Per Pupil,,"4,028","3,577",1,"1,025","8,631",2012
243,All Funds,,46.7 ,41.4 ,0.0 ,11.9 ,100.0 ,2012
244,EL PASO,EDISON 54 JT,,,,,,2012
245,Amount,,"1,160,643","828,195",0,"29,930","2,018,768",2012
246,Per Pupil,,"6,543","4,669",0,169,"11,380",2012
247,All Funds,,57.5 ,41.0 ,0.0 ,1.5 ,100.0 ,2012
248,EL PASO,MIAMI/YODER 60 JT,,,,,,2012
249,Amount,,"1,804,560","1,419,999",0,"250,341","3,474,900",2012
250,Per Pupil,,"6,180","4,863",0,857,"11,900",2012
251,All Funds,,51.9 ,40.9 ,0.0 ,7.2 ,100.0 ,2012
252,FREMONT,CANON CITY RE-1,,,,,,2012
253,Amount,,"17,615,925","11,986,330","167,719","2,385,405","32,155,379",2012
254,Per Pupil,,"4,716","3,209",45,639,"8,609",2012
255,All Funds,,54.8 ,37.3 ,0.5 ,7.4 ,100.0 ,2012
256,FREMONT,FLORENCE RE-2,,,,,,2012
257,Amount,,"7,190,128","5,309,604","112,421","1,513,888","14,126,041",2012
258,Per Pupil,,"4,505","3,327",70,949,"8,851",2012
259,All Funds,,50.9 ,37.6 ,0.8 ,10.7 ,100.0 ,2012
260,FREMONT,COTOPAXI RE-3,,,,,,2012
261,Amount,,"1,289,969","1,050,322",0,"216,193","2,556,484",2012
262,Per Pupil,,"6,214","5,059",0,"1,041","12,314",2012
263,All Funds,,50.5 ,41.1 ,0.0 ,8.5 ,100.0 ,2012
264,GARFIELD,ROARING FORK RE-1,,,,,,2012
265,Amount,,"33,655,873","16,802,711",0,"9,024,390","59,482,974",2012
266,Per Pupil,,"6,446","3,218",0,"1,728","11,392",2012
267,All Funds,,56.6 ,28.2 ,0.0 ,15.2 ,100.0 ,2012
268,GARFIELD,GARFIELD RE-2,,,,,,2012
269,Amount,,"21,072,230","17,284,815","15,277","30,481,994","68,854,316",2012
270,Per Pupil,,"4,656","3,820",3,"6,736","15,215",2012
271,All Funds,,30.6 ,25.1 ,0.0 ,44.3 ,100.0 ,2012
272,GARFIELD,GARFIELD 16,,,,,,2012
273,Amount,,"5,788,992","5,186,205",0,"21,289,825","32,265,021",2012
274,Per Pupil,,"5,180","4,641",0,"19,051","28,873",2012
275,All Funds,,17.9 ,16.1 ,0.0 ,66.0 ,100.0 ,2012
276,GILPIN,GILPIN COUNTY RE-1,,,,,,2012
277,Amount,,"2,427,472","2,365,347",0,"1,830,079","6,622,897",2012
278,Per Pupil,,"7,212","7,027",0,"5,437","19,676",2012
279,All Funds,,36.7 ,35.7 ,0.0 ,27.6 ,100.0 ,2012
280,GRAND,WEST GRAND 1-JT.,,,,,,2012
281,Amount,,"2,666,643","2,151,749","6,713","8,998,983","13,824,088",2012
282,Per Pupil,,"6,091","4,915",15,"20,555","31,576",2012
283,All Funds,,19.3 ,15.6 ,0.0 ,65.1 ,100.0 ,2012
284,GRAND,EAST GRAND 2,,,,,,2012
285,Amount,,"7,528,881","5,071,889","1,605","3,166,969","15,769,344",2012
286,Per Pupil,,"5,945","4,005",1,"2,501","12,451",2012
287,All Funds,,47.7 ,32.2 ,0.0 ,20.1 ,100.0 ,2012
288,GUNNISON,GUNNISON WATERSHED RE1J,,,,,,2012
289,Amount,,"9,863,816","5,884,779",385,"4,556,825","20,305,805",2012
290,Per Pupil,,"5,707","3,405",0,"2,636","11,748",2012
291,All Funds,,48.6 ,29.0 ,0.0 ,22.4 ,100.0 ,2012
292,HINSDALE,HINSDALE COUNTY RE 1,,,,,,2012
293,Amount,,"783,841","583,495","4,304","95,964","1,467,604",2012
294,Per Pupil,,"9,798","7,294",54,"1,200","18,345",2012
295,All Funds,,53.4 ,39.8 ,0.3 ,6.5 ,100.0 ,2012
296,HUERFANO,HUERFANO RE-1,,,,,,2012
297,Amount,,"2,785,980","2,214,518",0,"415,699","5,416,197",2012
298,Per Pupil,,"5,090","4,046",0,760,"9,896",2012
299,All Funds,,51.4 ,40.9 ,0.0 ,7.7 ,100.0 ,2012
300,HUERFANO,LA VETA RE-2,,,,,,2012
301,Amount,,"1,524,342","1,228,264",0,"108,386","2,860,992",2012
302,Per Pupil,,"6,826","5,501",0,485,"12,812",2012
303,All Funds,,53.3 ,42.9 ,0.0 ,3.8 ,100.0 ,2012
304,JACKSON,NORTH PARK R-1,,,,,,2012
305,Amount,,"1,534,366","1,089,005",0,"3,672","2,627,043",2012
306,Per Pupil,,"8,166","5,796",0,20,"13,981",2012
307,All Funds,,58.4 ,41.5 ,0.0 ,0.1 ,100.0 ,2012
308,JEFFERSON,JEFFERSON COUNTY R-1,,,,,,2012
309,Amount,,"431,813,744","313,405,360","254,638","179,889,861","925,363,603",2012
310,Per Pupil,,"5,343","3,878",3,"2,226","11,450",2012
311,All Funds,,46.7 ,33.9 ,0.0 ,19.4 ,100.0 ,2012
312,KIOWA,EADS RE-1,,,,,,2012
313,Amount,,"1,302,931","898,472",0,0,"2,201,402",2012
314,Per Pupil,,"7,553","5,209",0,0,"12,762",2012
315,All Funds,,59.2 ,40.8 ,0.0 ,0.0 ,100.0 ,2012
316,KIOWA,PLAINVIEW RE-2,,,,,,2012
317,Amount,,"589,997","606,770",0,0,"1,196,767",2012
318,Per Pupil,,"7,613","7,829",0,0,"15,442",2012
319,All Funds,,49.3 ,50.7 ,0.0 ,0.0 ,100.0 ,2012
320,KIT CARSON,ARRIBA-FLAGLER C-20,,,,,,2012
321,Amount,,"1,219,789","950,059",684,"131,625","2,302,156",2012
322,Per Pupil,,"8,214","6,398",5,886,"15,503",2012
323,All Funds,,53.0 ,41.3 ,0.0 ,5.7 ,100.0 ,2012
324,KIT CARSON,HI PLAINS R-23,,,,,,2012
325,Amount,,"992,965","779,554",0,"2,898,892","4,671,411",2012
326,Per Pupil,,"8,027","6,302",0,"23,435","37,764",2012
327,All Funds,,21.3 ,16.7 ,0.0 ,62.1 ,100.0 ,2012
328,KIT CARSON,STRATTON R-4,,,,,,2012
329,Amount,,"1,358,582","1,008,035",0,"5,562","2,372,179",2012
330,Per Pupil,,"7,950","5,898",0,33,"13,881",2012
331,All Funds,,57.3 ,42.5 ,0.0 ,0.2 ,100.0 ,2012
332,KIT CARSON,BETHUNE R-5,,,,,,2012
333,Amount,,"1,184,342","807,215",0,425,"1,991,982",2012
334,Per Pupil,,"9,724","6,627",0,3,"16,355",2012
335,All Funds,,59.5 ,40.5 ,0.0 ,0.0 ,100.0 ,2012
336,KIT CARSON,BURLINGTON RE-6J,,,,,,2012
337,Amount,,"3,585,251","2,372,808",0,"543,014","6,501,073",2012
338,Per Pupil,,"4,905","3,246",0,743,"8,893",2012
339,All Funds,,55.1 ,36.5 ,0.0 ,8.4 ,100.0 ,2012
340,LAKE,LAKE COUNTY R-1,,,,,,2012
341,Amount,,"6,035,723","4,606,608","830,843","282,626","11,755,799",2012
342,Per Pupil,,"5,604","4,277",771,262,"10,914",2012
343,All Funds,,51.3 ,39.2 ,7.1 ,2.4 ,100.0 ,2012
344,LA PLATA,DURANGO 9-R,,,,,,2012
345,Amount,,"23,808,874","21,037,559","193,299","10,256,392","55,296,124",2012
346,Per Pupil,,"5,417","4,787",44,"2,334","12,581",2012
347,All Funds,,43.1 ,38.0 ,0.3 ,18.5 ,100.0 ,2012
348,LA PLATA,BAYFIELD 10 JT-R,,,,,,2012
349,Amount,,"6,429,980","4,855,198",0,"1,319,633","12,604,811",2012
350,Per Pupil,,"4,851","3,663",0,996,"9,510",2012
351,All Funds,,51.0 ,38.5 ,0.0 ,10.5 ,100.0 ,2012
352,LA PLATA,IGNACIO 11 JT,,,,,,2012
353,Amount,,"5,119,414","4,245,105","1,695","3,413,649","12,779,863",2012
354,Per Pupil,,"6,817","5,653",2,"4,545","17,017",2012
355,All Funds,,40.1 ,33.2 ,0.0 ,26.7 ,100.0 ,2012
356,LARIMER,POUDRE R-1,,,,,,2012
357,Amount,,"145,197,917","125,473,523","527,937","49,060,683","320,260,060",2012
358,Per Pupil,,"5,511","4,763",20,"1,862","12,156",2012
359,All Funds,,45.3 ,39.2 ,0.2 ,15.3 ,100.0 ,2012
360,LARIMER,THOMPSON R-2J,,,,,,2012
361,Amount,,"72,870,289","52,986,436","1,141,325","13,125,979","140,124,030",2012
362,Per Pupil,,"4,890","3,555",77,881,"9,402",2012
363,All Funds,,52.0 ,37.8 ,0.8 ,9.4 ,100.0 ,2012
364,LARIMER,PARK (ESTES PARK) R-3,,,,,,2012
365,Amount,,"6,228,674","4,590,407",0,"1,744,531","12,563,611",2012
366,Per Pupil,,"5,632","4,151",0,"1,577","11,361",2012
367,All Funds,,49.6 ,36.5 ,0.0 ,13.9 ,100.0 ,2012
368,LAS ANIMAS,TRINIDAD 1,,,,,,2012
369,Amount,,"5,896,361","4,579,486",0,"530,700","11,006,547",2012
370,Per Pupil,,"4,285","3,328",0,386,"7,998",2012
371,All Funds,,53.6 ,41.6 ,0.0 ,4.8 ,100.0 ,2012
372,LAS ANIMAS,PRIMERO REORGANIZED 2,,,,,,2012
373,Amount,,"1,503,828","1,470,940",0,"1,364,021","4,338,788",2012
374,Per Pupil,,"7,837","7,665",0,"7,108","22,610",2012
375,All Funds,,34.7 ,33.9 ,0.0 ,31.4 ,100.0 ,2012
376,LAS ANIMAS,HOEHNE REORGANIZED 3,,,,,,2012
377,Amount,,"1,528,056","1,372,992",0,"322,030","3,223,077",2012
378,Per Pupil,,"4,191","3,766",0,883,"8,840",2012
379,All Funds,,47.4 ,42.6 ,0.0 ,10.0 ,100.0 ,2012
380,LAS ANIMAS,AGUILAR REORGANIZED 6,,,,,,2012
381,Amount,,"1,011,951","787,676",0,"83,173","1,882,800",2012
382,Per Pupil,,"10,326","8,038",0,849,"19,212",2012
383,All Funds,,53.7 ,41.8 ,0.0 ,4.4 ,100.0 ,2012
384,LAS ANIMAS,BRANSON REORGANIZED 82,,,,,,2012
385,Amount,,"1,926,681","1,073,329","18,182",0,"3,018,193",2012
386,Per Pupil,,"4,468","2,489",42,0,"7,000",2012
387,All Funds,,63.8 ,35.6 ,0.6 ,0.0 ,100.0 ,2012
388,LAS ANIMAS,KIM REORGANIZED 88,,,,,,2012
389,Amount,,"479,408","465,429",0,0,"944,837",2012
390,Per Pupil,,"8,911","8,651",0,0,"17,562",2012
391,All Funds,,50.7 ,49.3 ,0.0 ,0.0 ,100.0 ,2012
392,LINCOLN,GENOA-HUGO C-113,,,,,,2012
393,Amount,,"1,392,693","865,854",409,"6,830,918","9,089,874",2012
394,Per Pupil,,"8,640","5,371",3,"42,375","56,389",2012
395,All Funds,,15.3 ,9.5 ,0.0 ,75.1 ,100.0 ,2012
396,LINCOLN,LIMON RE-4J,,,,,,2012
397,Amount,,"2,568,930","1,681,875",312,"242,431","4,493,549",2012
398,Per Pupil,,"5,781","3,785",1,546,"10,111",2012
399,All Funds,,57.2 ,37.4 ,0.0 ,5.4 ,100.0 ,2012
400,LINCOLN,KARVAL RE-23,,,,,,2012
401,Amount,,"787,294","884,843",0,0,"1,672,137",2012
402,Per Pupil,,"5,880","6,608",0,0,"12,488",2012
403,All Funds,,47.1 ,52.9 ,0.0 ,0.0 ,100.0 ,2012
404,LOGAN,VALLEY RE-1,,,,,,2012
405,Amount,,"11,995,811","7,664,089","90,640","1,757,535","21,508,075",2012
406,Per Pupil,,"5,313","3,395",40,778,"9,527",2012
407,All Funds,,55.8 ,35.6 ,0.4 ,8.2 ,100.0 ,2012
408,LOGAN,FRENCHMAN RE-3,,,,,,2012
409,Amount,,"1,575,317","858,711",0,"44,570","2,478,598",2012
410,Per Pupil,,"8,256","4,501",0,234,"12,991",2012
411,All Funds,,63.6 ,34.6 ,0.0 ,1.8 ,100.0 ,2012
412,LOGAN,BUFFALO RE-4,,,,,,2012
413,Amount,,"1,937,888","1,301,632",0,"160,413","3,399,932",2012
414,Per Pupil,,"6,160","4,137",0,510,"10,807",2012
415,All Funds,,57.0 ,38.3 ,0.0 ,4.7 ,100.0 ,2012
416,LOGAN,PLATEAU RE-5,,,,,,2012
417,Amount,,"1,768,587","1,132,643",0,"319,084","3,220,314",2012
418,Per Pupil,,"9,643","6,176",0,"1,740","17,559",2012
419,All Funds,,54.9 ,35.2 ,0.0 ,9.9 ,100.0 ,2012
420,MESA,DE BEQUE 49JT,,,,,,2012
421,Amount,,"1,046,630","830,920",0,"260,763","2,138,313",2012
422,Per Pupil,,"8,817","7,000",0,"2,197","18,014",2012
423,All Funds,,48.9 ,38.9 ,0.0 ,12.2 ,100.0 ,2012
424,MESA,PLATEAU VALLEY 50,,,,,,2012
425,Amount,,"2,166,845","1,691,216",0,"294,556","4,152,617",2012
426,Per Pupil,,"4,505","3,516",0,612,"8,633",2012
427,All Funds,,52.2 ,40.7 ,0.0 ,7.1 ,100.0 ,2012
428,MESA,MESA COUNTY VALLEY 51,,,,,,2012
429,Amount,,"106,190,736","76,147,146","368,927","19,619,764","202,326,573",2012
430,Per Pupil,,"5,079","3,642",18,938,"9,677",2012
431,All Funds,,52.5 ,37.6 ,0.2 ,9.7 ,100.0 ,2012
432,MINERAL,CREEDE CONSOLIDATED 1,,,,,,2012
433,Amount,,"959,760","705,187",0,0,"1,664,947",2012
434,Per Pupil,,"10,617","7,801",0,0,"18,418",2012
435,All Funds,,57.6 ,42.4 ,0.0 ,0.0 ,100.0 ,2012
436,MOFFAT,MOFFAT COUNTY RE:NO 1,,,,,,2012
437,Amount,,"11,847,752","9,847,861",0,"2,795,616","24,491,229",2012
438,Per Pupil,,"5,393","4,482",0,"1,272","11,148",2012
439,All Funds,,48.4 ,40.2 ,0.0 ,11.4 ,100.0 ,2012
440,MONTEZUMA,MONTEZUMA-CORTEZ RE-1,,,,,,2012
441,Amount,,"12,641,874","13,196,910",500,"365,709","26,204,993",2012
442,Per Pupil,,"4,554","4,754",0,132,"9,439",2012
443,All Funds,,48.2 ,50.4 ,0.0 ,1.4 ,100.0 ,2012
444,MONTEZUMA,DOLORES RE-4A,,,,,,2012
445,Amount,,"3,599,801","2,372,604",106,"443,818","6,416,329",2012
446,Per Pupil,,"5,050","3,328",0,623,"9,000",2012
447,All Funds,,56.1 ,37.0 ,0.0 ,6.9 ,100.0 ,2012
448,MONTEZUMA,MANCOS RE-6,,,,,,2012
449,Amount,,"1,849,377","1,743,483",0,"189,515","3,782,375",2012
450,Per Pupil,,"4,830","4,553",0,495,"9,878",2012
451,All Funds,,48.9 ,46.1 ,0.0 ,5.0 ,100.0 ,2012
452,MONTROSE,MONTROSE COUNTY RE-1J,,,,,,2012
453,Amount,,"28,549,920","24,783,386","490,290","922,538","54,746,134",2012
454,Per Pupil,,"4,773","4,143",82,154,"9,152",2012
455,All Funds,,52.1 ,45.3 ,0.9 ,1.7 ,100.0 ,2012
456,MONTROSE,WEST END RE-2,,,,,,2012
457,Amount,,"1,792,548","1,825,346",360,"115,542","3,733,797",2012
458,Per Pupil,,"5,928","6,036",1,382,"12,347",2012
459,All Funds,,48.0 ,48.9 ,0.0 ,3.1 ,100.0 ,2012
460,MORGAN,BRUSH RE-2(J),,,,,,2012
461,Amount,,"7,236,119","5,562,413",0,"1,114,468","13,913,000",2012
462,Per Pupil,,"4,978","3,827",0,767,"9,571",2012
463,All Funds,,52.0 ,40.0 ,0.0 ,8.0 ,100.0 ,2012
464,MORGAN,FORT MORGAN RE-3,,,,,,2012
465,Amount,,"13,914,685","11,397,164","349,839","2,155,975","27,817,662",2012
466,Per Pupil,,"4,677","3,831",118,725,"9,350",2012
467,All Funds,,50.0 ,41.0 ,1.3 ,7.8 ,100.0 ,2012
468,MORGAN,WELDON VALLEY RE-20(J),,,,,,2012
469,Amount,,"1,502,066","915,852","26,145","78,335","2,522,397",2012
470,Per Pupil,,"7,571","4,616",132,395,"12,714",2012
471,All Funds,,59.5 ,36.3 ,1.0 ,3.1 ,100.0 ,2012
472,MORGAN,WIGGINS RE-50(J),,,,,,2012
473,Amount,,"2,813,464","1,956,966",0,"390,801","5,161,231",2012
474,Per Pupil,,"5,721","3,979",0,795,"10,495",2012
475,All Funds,,54.5 ,37.9 ,0.0 ,7.6 ,100.0 ,2012
476,OTERO,EAST OTERO R-1,,,,,,2012
477,Amount,,"6,850,352","5,267,039","350,747","840,790","13,308,928",2012
478,Per Pupil,,"5,190","3,990",266,637,"10,083",2012
479,All Funds,,51.5 ,39.6 ,2.6 ,6.3 ,100.0 ,2012
480,OTERO,ROCKY FORD R-2,,,,,,2012
481,Amount,,"4,258,763","3,234,060","25,181",0,"7,518,004",2012
482,Per Pupil,,"5,244","3,982",31,0,"9,257",2012
483,All Funds,,56.6 ,43.0 ,0.3 ,0.0 ,100.0 ,2012
484,OTERO,MANZANOLA 3J,,,,,,2012
485,Amount,,"1,149,943","1,220,707","5,125","68,684","2,444,459",2012
486,Per Pupil,,"7,306","7,755",33,436,"15,530",2012
487,All Funds,,47.0 ,49.9 ,0.2 ,2.8 ,100.0 ,2012
488,OTERO,FOWLER R-4J,,,,,,2012
489,Amount,,"2,437,091","1,401,329",0,"200,990","4,039,410",2012
490,Per Pupil,,"5,956","3,425",0,491,"9,871",2012
491,All Funds,,60.3 ,34.7 ,0.0 ,5.0 ,100.0 ,2012
492,OTERO,CHERAW 31,,,,,,2012
493,Amount,,"1,375,798","978,940","47,318","33,535","2,435,591",2012
494,Per Pupil,,"6,692","4,761",230,163,"11,846",2012
495,All Funds,,56.5 ,40.2 ,1.9 ,1.4 ,100.0 ,2012
496,OTERO,SWINK 33,,,,,,2012
497,Amount,,"2,125,168","1,439,478",0,"187,213","3,751,858",2012
498,Per Pupil,,"5,968","4,042",0,526,"10,536",2012
499,All Funds,,56.6 ,38.4 ,0.0 ,5.0 ,100.0 ,2012
500,OURAY,OURAY R-1,,,,,,2012
501,Amount,,"1,714,541","1,026,349",0,"192,683","2,933,573",2012
502,Per Pupil,,"8,686","5,199",0,976,"14,861",2012
503,All Funds,,58.4 ,35.0 ,0.0 ,6.6 ,100.0 ,2012
504,OURAY,RIDGWAY R-2,,,,,,2012
505,Amount,,"2,136,945","1,915,540","4,000","801,479","4,857,964",2012
506,Per Pupil,,"6,483","5,812",12,"2,432","14,739",2012
507,All Funds,,44.0 ,39.4 ,0.1 ,16.5 ,100.0 ,2012
508,PARK,PLATTE CANYON 1,,,,,,2012
509,Amount,,"5,016,206","4,512,437","121,174","900,892","10,550,709",2012
510,Per Pupil,,"4,642","4,175",112,834,"9,763",2012
511,All Funds,,47.5 ,42.8 ,1.1 ,8.5 ,100.0 ,2012
512,PARK,PARK COUNTY RE-2,,,,,,2012
513,Amount,,"3,909,176","2,590,367","5,055","1,809,226","8,313,824",2012
514,Per Pupil,,"7,579","5,022",10,"3,508","16,118",2012
515,All Funds,,47.0 ,31.2 ,0.1 ,21.8 ,100.0 ,2012
516,PHILLIPS,HOLYOKE RE-1J,,,,,,2012
517,Amount,,"3,574,683","1,939,499",0,"424,825","5,939,006",2012
518,Per Pupil,,"6,066","3,291",0,721,"10,078",2012
519,All Funds,,60.2 ,32.7 ,0.0 ,7.2 ,100.0 ,2012
520,PHILLIPS,HAXTUN RE-2J,,,,,,2012
521,Amount,,"2,006,930","1,018,163",0,0,"3,025,093",2012
522,Per Pupil,,"6,911","3,506",0,0,"10,417",2012
523,All Funds,,66.3 ,33.7 ,0.0 ,0.0 ,100.0 ,2012
524,PITKIN,ASPEN 1,,,,,,2012
525,Amount,,"17,565,169","7,573,062","765,623","7,157,232","33,061,086",2012
526,Per Pupil,,"10,631","4,584",463,"4,332","20,010",2012
527,All Funds,,53.1 ,22.9 ,2.3 ,21.6 ,100.0 ,2012
528,PROWERS,GRANADA RE-1,,,,,,2012
529,Amount,,"1,625,797","993,843",0,0,"2,619,640",2012
530,Per Pupil,,"7,431","4,542",0,0,"11,973",2012
531,All Funds,,62.1 ,37.9 ,0.0 ,0.0 ,100.0 ,2012
532,PROWERS,LAMAR RE-2,,,,,,2012
533,Amount,,"7,630,264","4,024,806","94,483","367,468","12,117,021",2012
534,Per Pupil,,"4,845","2,556",60,233,"7,694",2012
535,All Funds,,63.0 ,33.2 ,0.8 ,3.0 ,100.0 ,2012
536,PROWERS,HOLLY RE-3,,,,,,2012
537,Amount,,"1,712,787","1,052,600","11,538","252,625","3,029,551",2012
538,Per Pupil,,"6,274","3,856",42,925,"11,097",2012
539,All Funds,,56.5 ,34.7 ,0.4 ,8.3 ,100.0 ,2012
540,PROWERS,WILEY RE-13 JT,,,,,,2012
541,Amount,,"1,517,224","937,172",0,"90,963","2,545,360",2012
542,Per Pupil,,"6,788","4,193",0,407,"11,389",2012
543,All Funds,,59.6 ,36.8 ,0.0 ,3.6 ,100.0 ,2012
544,PUEBLO,PUEBLO CITY 60,,,,,,2012
545,Amount,,"81,358,675","64,350,400","153,093","8,620,551","154,482,720",2012
546,Per Pupil,,"4,814","3,808",9,510,"9,141",2012
547,All Funds,,52.7 ,41.7 ,0.1 ,5.6 ,100.0 ,2012
548,PUEBLO,PUEBLO COUNTY RURAL 70,,,,,,2012
549,Amount,,"39,202,790","28,454,268",0,"15,543,040","83,200,098",2012
550,Per Pupil,,"4,509","3,273",0,"1,788","9,569",2012
551,All Funds,,47.1 ,34.2 ,0.0 ,18.7 ,100.0 ,2012
552,RIO BLANCO,MEEKER RE1,,,,,,2012
553,Amount,,"4,142,780","2,536,129",0,"2,049,331","8,728,240",2012
554,Per Pupil,,"6,422","3,931",0,"3,177","13,530",2012
555,All Funds,,47.5 ,29.1 ,0.0 ,23.5 ,100.0 ,2012
556,RIO BLANCO,RANGELY RE-4,,,,,,2012
557,Amount,,"3,286,137","2,567,793","14,665","1,826,288","7,694,883",2012
558,Per Pupil,,"7,082","5,534",32,"3,936","16,584",2012
559,All Funds,,42.7 ,33.4 ,0.2 ,23.7 ,100.0 ,2012
560,RIO GRANDE,DEL NORTE C-7,,,,,,2012
561,Amount,,"2,501,248","1,977,874",0,"559,745","5,038,868",2012
562,Per Pupil,,"4,568","3,612",0,"1,022","9,202",2012
563,All Funds,,49.6 ,39.3 ,0.0 ,11.1 ,100.0 ,2012
564,RIO GRANDE,MONTE VISTA C-8,,,,,,2012
565,Amount,,"5,115,188","3,907,488",0,"652,047","9,674,722",2012
566,Per Pupil,,"4,632","3,539",0,591,"8,762",2012
567,All Funds,,52.9 ,40.4 ,0.0 ,6.7 ,100.0 ,2012
568,RIO GRANDE,SARGENT RE-33J,,,,,,2012
569,Amount,,"2,318,615","1,752,677",0,"371,473","4,442,766",2012
570,Per Pupil,,"4,988","3,771",0,799,"9,558",2012
571,All Funds,,52.2 ,39.5 ,0.0 ,8.4 ,100.0 ,2012
572,ROUTT,HAYDEN RE-1,,,,,,2012
573,Amount,,"3,422,014","2,080,365",0,"514,809","6,017,188",2012
574,Per Pupil,,"8,946","5,439",0,"1,346","15,731",2012
575,All Funds,,56.9 ,34.6 ,0.0 ,8.6 ,100.0 ,2012
576,ROUTT,STEAMBOAT SPRINGS RE-2,,,,,,2012
577,Amount,,"14,109,462","11,338,586","1,513","13,094,973","38,544,533",2012
578,Per Pupil,,"6,219","4,997",1,"5,772","16,988",2012
579,All Funds,,36.6 ,29.4 ,0.0 ,34.0 ,100.0 ,2012
580,ROUTT,SOUTH ROUTT RE 3,,,,,,2012
581,Amount,,"3,275,400","2,067,546",0,"850,826","6,193,772",2012
582,Per Pupil,,"8,559","5,403",0,"2,223","16,184",2012
583,All Funds,,52.9 ,33.4 ,0.0 ,13.7 ,100.0 ,2012
584,SAGUACHE,MOUNTAIN VALLEY RE 1,,,,,,2012
585,Amount,,"1,140,154","908,861","101,304",0,"2,150,319",2012
586,Per Pupil,,"10,180","8,115",905,0,"19,199",2012
587,All Funds,,53.0 ,42.3 ,4.7 ,0.0 ,100.0 ,2012
588,SAGUACHE,MOFFAT 2,,,,,,2012
589,Amount,,"1,595,884","1,389,496",0,"225,283","3,210,664",2012
590,Per Pupil,,"8,109","7,060",0,"1,145","16,314",2012
591,All Funds,,49.7 ,43.3 ,0.0 ,7.0 ,100.0 ,2012
592,SAGUACHE,CENTER 26 JT,,,,,,2012
593,Amount,,"4,143,495","3,397,805","72,256","517,054","8,130,611",2012
594,Per Pupil,,"7,056","5,786",123,881,"13,846",2012
595,All Funds,,51.0 ,41.8 ,0.9 ,6.4 ,100.0 ,2012
596,SAN JUAN,SILVERTON 1,,,,,,2012
597,Amount,,"845,731","565,959","140,194","105,880","1,657,764",2012
598,Per Pupil,,"13,112","8,775","2,174","1,642","25,702",2012
599,All Funds,,51.0 ,34.1 ,8.5 ,6.4 ,100.0 ,2012
600,SAN MIGUEL,TELLURIDE R-1,,,,,,2012
601,Amount,,"5,813,829","3,274,342","293,039","7,083,367","16,464,577",2012
602,Per Pupil,,"7,480","4,212",377,"9,113","21,182",2012
603,All Funds,,35.3 ,19.9 ,1.8 ,43.0 ,100.0 ,2012
604,SAN MIGUEL,NORWOOD R-2J,,,,,,2012
605,Amount,,"1,946,035","1,359,275",0,"308,630","3,613,939",2012
606,Per Pupil,,"7,605","5,312",0,"1,206","14,122",2012
607,All Funds,,53.8 ,37.6 ,0.0 ,8.5 ,100.0 ,2012
608,SEDGWICK,JULESBURG RE-1,,,,,,2012
609,Amount,,"5,111,390","1,835,739",0,"95,701","7,042,830",2012
610,Per Pupil,,"4,753","1,707",0,89,"6,550",2012
611,All Funds,,72.6 ,26.1 ,0.0 ,1.4 ,100.0 ,2012
612,SEDGWICK,PLATTE VALLEY RE-3,,,,,,2012
613,Amount,,"1,070,787","775,412",0,"72,431","1,918,630",2012
614,Per Pupil,,"8,748","6,335",0,592,"15,675",2012
615,All Funds,,55.8 ,40.4 ,0.0 ,3.8 ,100.0 ,2012
616,SUMMIT,SUMMIT RE-1,,,,,,2012
617,Amount,,"19,248,191","15,645,247",0,"7,011,895","41,905,334",2012
618,Per Pupil,,"6,524","5,303",0,"2,377","14,203",2012
619,All Funds,,45.9 ,37.3 ,0.0 ,16.7 ,100.0 ,2012
620,TELLER,CRIPPLE CREEK-VICTOR RE-1,,,,,,2012
621,Amount,,"3,529,278","2,004,716",0,"995,471","6,529,465",2012
622,Per Pupil,,"9,212","5,233",0,"2,598","17,044",2012
623,All Funds,,54.1 ,30.7 ,0.0 ,15.2 ,100.0 ,2012
624,TELLER,WOODLAND PARK RE-2,,,,,,2012
625,Amount,,"13,286,425","8,239,714",0,"6,372,617","27,898,756",2012
626,Per Pupil,,"5,121","3,176",0,"2,456","10,753",2012
627,All Funds,,47.6 ,29.5 ,0.0 ,22.8 ,100.0 ,2012
628,WASHINGTON,AKRON R-1,,,,,,2012
629,Amount,,"2,275,232","1,451,820",0,"586,533","4,313,585",2012
630,Per Pupil,,"6,347","4,050",0,"1,636","12,032",2012
631,All Funds,,52.7 ,33.7 ,0.0 ,13.6 ,100.0 ,2012
632,WASHINGTON,ARICKAREE R-2,,,,,,2012
633,Amount,,"984,713","921,189",0,0,"1,905,902",2012
634,Per Pupil,,"9,788","9,157",0,0,"18,945",2012
635,All Funds,,51.7 ,48.3 ,0.0 ,0.0 ,100.0 ,2012
636,WASHINGTON,OTIS R-3,,,,,,2012
637,Amount,,"1,406,361","910,343",0,"104,301","2,421,005",2012
638,Per Pupil,,"7,561","4,894",0,561,"13,016",2012
639,All Funds,,58.1 ,37.6 ,0.0 ,4.3 ,100.0 ,2012
640,WASHINGTON,LONE STAR 101,,,,,,2012
641,Amount,,"1,140,684","932,949",0,0,"2,073,633",2012
642,Per Pupil,,"10,086","8,249",0,0,"18,335",2012
643,All Funds,,55.0 ,45.0 ,0.0 ,0.0 ,100.0 ,2012
644,WASHINGTON,WOODLIN R-104,,,,,,2012
645,Amount,,"784,060","837,068",0,0,"1,621,128",2012
646,Per Pupil,,"8,578","9,158",0,0,"17,737",2012
