school,district_id,district_name,emh,emh_combined,school_id,school_grade,read_achievement,math_achievement,write_achievement,science_achievement,overall_weighted_growth,read_growth,math_growth,write_growth,graduation_rate
MANITOU SPRINGS MIDDLE SCHOOL,1030,MANITOU SPRINGS 14,M,False,5464,6,9,6,9,9,6,6,6,6,
COMMUNITY LEADERSHIP ACADEMY,30,ADAMS COUNTY 14,E,False,1882,6,4,6,6,3,9,11,6,8,
WASHINGTON ELEMENTARY SCHOOL,1140,CANON CITY RE-1,E,False,9248,6,9,7,6,6,7,9,6,6,
HILL CAMPUS OF ARTS AND SCIENCES,880,DENVER COUNTY 1,M,False,3990,6,5,6,6,5,9,8,9,9,
CENTENNIAL ELEMENTARY SCHOOL,980,HARRISON 2,E,False,1383,6,3,6,4,4,8,8,9,6,
BELMAR ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,724,6,6,6,6,6,6,7,7,6,
COTTONWOOD PLAINS ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,False,1920,6,7,9,7,9,6,5,6,6,
SUNSET RIDGE ELEMENTARY SCHOOL,70,WESTMINSTER 50,E,False,8406,6,5,6,5,5,7,6,8,8,
ARROWHEAD ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,348,6,6,7,6,6,7,8,7,6,
ROCKRIMMON ELEMENTARY SCHOOL,1040,ACADEMY 20,E,False,7460,6,9,9,9,8,6,5,6,6,
MANASSA ELEMENTARY SCHOOL,550,NORTH CONEJOS RE-1J,E,False,5422,6,9,10,9,9,6,1,6,9,
AVONDALE ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,False,472,6,6,6,6,8,7,5,9,8,
MOUNTAIN RIDGE MIDDLE SCHOOL,1040,ACADEMY 20,M,False,6140,6,10,7,10,10,6,6,5,6,
LAREDO MIDDLE SCHOOL,130,CHERRY CREEK 5,M,False,4975,6,6,6,7,6,6,6,6,6,
FALCON BLUFFS MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,False,2963,6,9,6,9,10,6,6,6,5,
LEROY DRIVE ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,5058,6,6,6,6,5,7,6,9,6,
CACTUS VALLEY ELEMENTARY SCHOOL,1195,GARFIELD RE-2,E,False,7890,6,6,8,6,,6,6,7,6,
WELCHESTER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,9342,6,6,6,6,6,9,10,7,7,
GOLDRICK ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,3512,6,3,6,5,5,8,6,9,6,
FLEMING ELEMENTARY SCHOOL,1850,FRENCHMAN RE-3,E,False,2980,6,9,9,8,6,6,5,6,5,
ALLENDALE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,148,6,6,6,5,4,9,9,10,9,
PLATEAU VALLEY MIDDLE SCHOOL,1990,PLATEAU VALLEY 50,M,False,7028,6,7,5,9,7,6,7,5,6,
MEAD ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,False,5726,6,6,7,6,8,6,5,6,6,
VAN ARSDALE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,9052,6,9,9,9,9,6,5,6,5,
PIONEER RIDGE ELEMENTARY SCHOOL,3110,JOHNSTOWN-MILLIKEN RE-5J,E,False,6963,6,9,9,9,6,6,6,5,6,
HAAFF ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,False,3724,6,9,9,9,7,5,2,6,6,
RYE ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,False,7530,6,6,9,6,7,6,5,9,7,
SIERRA VISTA ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,False,7886,6,6,9,6,6,6,5,6,5,
SANFORD JUNIOR/SENIOR HIGH SCHOOL,560,SANFORD 6J,M,True,7616,6,6,6,7,,5,9,1,4,
ROSS MONTESSORI SCHOOL,8001,CHARTER SCHOOL INSTITUTE,E,True,7512,6,9,7,7,9,5,6,3,6,
ROSS MONTESSORI SCHOOL,8001,CHARTER SCHOOL INSTITUTE,M,True,7512,6,6,4,7,,9,6,11,9,
LOWRY ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,5342,6,6,7,6,6,6,6,6,6,
ENGLEWOOD LEADERSHIP ACADEMY,120,ENGLEWOOD 1,M,False,2750,6,12,8,12,12,5,7,1,6,
MC CLAVE UNDIVIDED HIGH SCHOOL,310,MC CLAVE RE-2,M,True,5670,6,6,3,5,5,1,1,1,1,
WEBBER MIDDLE SCHOOL,1550,POUDRE R-1,M,False,9330,6,9,6,9,9,6,6,6,6,
PRAIRIE ELEMENTARY SCHOOL,3147,PRAIRIE RE-11,E,False,7154,6,10,10,9,10,6,3,6,6,
PATTERSON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,6808,6,6,6,6,6,8,7,9,6,
WINDSOR MIDDLE SCHOOL,3100,WINDSOR RE-4,M,False,9670,6,9,6,9,9,6,5,6,6,
HIGHLAND ELEMENTARY SCHOOL,1195,GARFIELD RE-2,E,False,3967,6,5,7,4,,9,6,12,6,
CHAPPELOW K-8 MAGNET SCHOOL,3120,GREELEY 6,M,False,1500,6,7,5,9,6,8,9,6,8,
MONTCLAIR ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,6002,6,5,6,6,6,9,8,9,7,
MONARCH K-8 SCHOOL,480,BOULDER VALLEY RE 2,M,False,6000,6,9,7,10,10,6,6,6,6,
RYAN ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,False,7528,6,7,7,6,7,5,1,7,6,
RANCH VIEW MIDDLE SCHOOL,900,DOUGLAS COUNTY RE 1,M,False,7245,6,9,7,9,9,6,5,6,5,
SAGEWOOD MIDDLE SCHOOL,900,DOUGLAS COUNTY RE 1,M,False,6772,6,9,6,9,8,6,5,6,6,
EAST GRAND MIDDLE SCHOOL,1350,EAST GRAND 2,M,False,2376,6,7,6,9,8,7,7,6,8,
HUTCHINSON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,4190,6,9,9,10,9,5,6,5,5,
PRESTON MIDDLE SCHOOL,1550,POUDRE R-1,M,False,7161,6,9,6,9,9,6,5,6,5,
LUCILE ERWIN MIDDLE SCHOOL,1560,THOMPSON R-2J,M,False,5335,6,8,6,9,7,6,6,6,6,
VASSAR ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,False,9059,6,5,6,6,5,7,6,8,8,
CREEKSIDE ELEMENTARY SCHOOL AT MARTIN PARK,480,BOULDER VALLEY RE 2,E,False,5606,6,6,6,6,6,6,6,6,9,
SAMUELS ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,7578,6,5,6,5,6,8,6,7,8,
AXL ACADEMY,180,ADAMS-ARAPAHOE 28J,E,False,213,5,4,3,4,3,9,9,7,7,
SUMMIT ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,8380,6,7,8,6,8,6,7,5,6,
PUEBLO CHARTER SCHOOL FOR THE ARTS & SCIENCES,2690,PUEBLO CITY 60,M,False,7209,6,8,5,7,10,6,9,3,7,
SKY VIEW MIDDLE SCHOOL,2700,PUEBLO COUNTY 70,M,False,25,6,7,6,7,7,6,6,6,7,
CENTURY MIDDLE SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,M,False,1480,6,7,6,7,9,6,6,5,6,
PARK ELEMENTARY SCHOOL,1520,DURANGO 9-R,E,False,6738,6,7,8,6,9,6,6,6,6,
PEYTON JUNIOR/SENIOR HIGH SCHOOL,1060,PEYTON 23 JT,M,False,6902,6,6,6,8,7,6,5,7,5,
DILLON VALLEY ELEMENTARY SCHOOL,3000,SUMMIT RE-1,E,False,8370,6,3,5,5,5,9,9,9,7,
KEMP ELEMENTARY SCHOOL,30,ADAMS COUNTY 14,E,False,4536,6,4,6,4,6,7,7,9,6,
BYERS ELEMENTARY SCHOOL,190,BYERS 32J,E,False,1168,6,8,8,7,7,4,1,6,5,
MADISON EXPLORATORY SCHOOL,1140,CANON CITY RE-1,E,False,5414,6,7,7,6,5,6,6,6,7,
MOORE K-8 SCHOOL,880,DENVER COUNTY 1,E,True,6088,6,5,6,5,6,11,9,12,9,
MOORE K-8 SCHOOL,880,DENVER COUNTY 1,M,True,6088,6,5,2,5,5,6,3,3,9,
EAGLESIDE ELEMENTARY SCHOOL,1000,FOUNTAIN 8,E,False,3027,6,7,9,8,7,5,5,3,6,
JEFFERSON CHARTER ACADEMY JUNIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,M,False,4404,6,9,6,9,9,6,6,5,6,
PLAINVIEW ELEMENTARY SCHOOL,1440,PLAINVIEW RE-2,E,False,6992,6,5,7,1,,6,3,6,11,
CORWIN INTERNATIONAL MAGNET SCHOOL,2690,PUEBLO CITY 60,E,False,2096,6,9,10,10,6,6,6,3,9,
BEULAH MIDDLE SCHOOL,2700,PUEBLO COUNTY 70,M,False,856,6,9,6,8,9,6,6,6,6,
PRAIRIE WINDS ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,False,7153,6,6,9,6,6,6,5,6,6,
SARGENT JUNIOR HIGH SCHOOL,2750,SARGENT RE-33J,M,False,7668,6,11,6,9,12,5,3,6,5,
SILVERTON MIDDLE SCHOOL,2820,SILVERTON 1,M,False,7902,6,6,5,6,,8,6,9,6,
BIG THOMPSON ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,False,870,6,8,9,6,6,6,6,6,4,
MISSION VIEJO ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,5934,6,6,6,6,6,6,6,6,6,
IMAGINE CHARTER,470,ST VRAIN VALLEY RE 1J,E,True,4333,6,8,6,6,7,6,8,5,6,
IMAGINE CHARTER,470,ST VRAIN VALLEY RE 1J,M,True,4333,6,6,3,8,6,6,9,1,10,
GRANBY ELEMENTARY SCHOOL,1350,EAST GRAND 2,E,False,3556,6,6,8,6,6,6,6,6,8,
CANON CITY MIDDLE SCHOOL,1140,CANON CITY RE-1,M,False,1262,6,6,6,6,6,6,6,6,6,
ROXBOROUGH INTERMEDIATE,900,DOUGLAS COUNTY RE 1,E,False,2954,6,8,9,7,7,6,6,6,5,
LIBERTY JUNIOR-SENIOR HIGH SCHOOL,3230,LIBERTY J-4,M,True,5123,6,6,5,6,6,5,6,3,5,
PIONEER BILINGUAL ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,False,6962,6,6,6,6,6,6,6,7,5,
LAS ANIMAS ELEMENTARY SCHOOL,290,LAS ANIMAS RE-1,E,False,1812,6,10,10,10,8,5,5,5,6,
LINCOLN ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,False,5170,6,6,7,6,7,6,6,6,6,
WELDON VALLEY ELEMENTARY SCHOOL,2505,WELDON VALLEY RE-20(J),E,False,9352,6,6,9,6,6,7,5,8,7,
LAWRENCE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,5024,6,6,6,6,6,6,6,7,6,
PARR ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,6806,6,6,6,6,6,6,10,7,2,
DRAKE JUNIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,M,False,2288,6,7,6,9,8,5,5,5,5,
CENTENNIAL ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,1388,6,6,7,6,6,6,6,7,6,
NORTH ARVADA MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,False,6330,6,6,5,6,7,6,7,7,5,
TIMBERLINE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,8850,6,6,9,7,6,5,3,6,6,
UTE PASS ELEMENTARY SCHOOL,1030,MANITOU SPRINGS 14,E,False,9010,6,9,9,9,8,6,5,5,9,
LOMA ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,False,5244,6,8,9,7,7,6,7,5,6,
AURORA WEST COLLEGE PREPARATORY ACADEMY,180,ADAMS-ARAPAHOE 28J,M,False,9396,6,3,3,3,2,10,9,10,9,
HARRY L MC GINNIS MIDDLE SCHOOL,490,BUENA VISTA R-31,M,False,1132,6,6,5,7,9,6,6,6,6,
MERRILL MIDDLE SCHOOL,880,DENVER COUNTY 1,M,False,5826,6,2,2,3,3,9,10,8,8,
ELBERT ELEMENTARY SCHOOL,950,ELBERT 200,E,False,2570,6,10,7,9,6,6,7,3,6,
IDALIA JUNIOR-SENIOR HIGH SCHOOL,3220,IDALIA RJ-3,M,False,4231,6,5,5,5,6,8,7,13,3,
CARDINAL COMMUNITY ACADEMY CHARTER SCHOOL,3090,KEENESBURG RE-3(J),M,False,1299,6,9,6,9,9,6,6,3,9,
VALLEY VIEW K-8,10,MAPLETON 1,E,True,9036,6,6,7,9,6,11,9,10,10,
VALLEY VIEW K-8,10,MAPLETON 1,M,True,9036,6,5,3,6,3,4,3,3,6,
BELMONT ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,False,738,6,9,9,8,6,5,2,6,6,
VINELAND MIDDLE SCHOOL,2700,PUEBLO COUNTY 70,M,False,9134,6,6,6,6,9,6,6,6,6,
WALSH ELEMENTARY SCHOOL,230,WALSH RE-1,E,False,9222,6,12,10,12,9,5,5,1,7,
TWOMBLY ELEMENTARY SCHOOL,3140,WELD COUNTY S/D RE-8,E,False,8930,6,4,6,3,5,6,5,11,3,
ESCALANTE MIDDLE SCHOOL,1520,DURANGO 9-R,M,False,7994,6,7,6,7,9,5,5,6,5,
SUNSET MIDDLE SCHOOL,470,ST VRAIN VALLEY RE 1J,M,False,5286,6,7,6,9,9,7,7,6,8,
GALILEO SCHOOL OF MATH AND SCIENCE,1010,COLORADO SPRINGS 11,M,False,3360,6,6,6,6,,6,6,9,5,
KELLER ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,False,4530,6,6,6,6,6,7,8,6,6,
FAIRVIEW ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,2880,6,4,5,3,,9,12,6,9,
ALPINE ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,False,61,6,7,9,6,9,6,6,6,6,
DOUGLASS VALLEY ELEMENTARY SCHOOL,1040,ACADEMY 20,E,False,2248,6,9,9,8,7,6,7,6,5,
ARAGON ELEMENTARY SCHOOL,1000,FOUNTAIN 8,E,False,3102,6,6,8,6,6,5,5,6,6,
VIRGINIA COURT ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,False,9140,6,3,5,3,1,11,6,12,12,
BETHUNE JUNIOR-SENIOR HIGH SCHOOL,1490,BETHUNE R-5,M,False,842,6,6,4,6,5,6,8,5,8,
SURFACE CREEK VISION SCHOOL,870,DELTA COUNTY 50(J),E,True,8419,6,6,6,5,9,5,5,5,3,
SURFACE CREEK VISION SCHOOL,870,DELTA COUNTY 50(J),M,True,8419,6,7,3,6,6,6,9,5,6,
SMITH ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,8006,6,3,3,2,1,9,12,9,6,
CARSON MIDDLE SCHOOL,1000,FOUNTAIN 8,M,False,1332,6,6,5,6,6,7,7,6,7,
PATRIOT ELEMENTARY SCHOOL,1000,FOUNTAIN 8,E,False,6338,6,7,9,7,7,5,5,5,5,
LAB ELEMENTARY SCHOOL FOR CREATIVE LEARNING,1550,POUDRE R-1,E,False,3791,6,7,8,6,10,6,8,6,6,
WESTVIEW ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,9494,6,5,6,5,6,7,6,7,7,
HAXTUN ELEMENTARY SCHOOL,2630,HAXTUN RE-2J,E,True,3846,6,6,9,6,6,3,2,5,3,
HAXTUN ELEMENTARY SCHOOL,2630,HAXTUN RE-2J,M,True,3846,6,7,5,7,4,7,6,6,9,
HOLYOKE ELEMENTARY SCHOOL,2620,HOLYOKE RE-1J,E,False,4076,6,6,6,6,6,6,7,6,6,
KIOWA ELEMENTARY SCHOOL,930,KIOWA C-2,E,False,4724,6,6,7,6,7,6,6,6,6,
COLUMBINE MIDDLE SCHOOL,2180,MONTROSE COUNTY RE-1J,M,False,6054,6,7,5,7,6,6,6,6,6,
BILL REED MIDDLE SCHOOL,1560,THOMPSON R-2J,M,False,5312,6,6,6,6,7,6,5,8,5,
ALTURA ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,False,214,6,1,3,2,1,10,6,13,9,
STRATTON ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,False,8346,6,9,9,10,9,6,6,5,6,
CUSTER COUNTY ELEMENTARY SCHOOL,860,CUSTER COUNTY SCHOOL DISTR,E,False,2088,6,7,9,6,7,5,5,5,5,
GARDEN PLACE ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,3296,6,1,3,1,1,12,6,13,11,
MILLER MIDDLE SCHOOL,1520,DURANGO 9-R,M,False,5888,6,9,6,9,9,6,6,6,6,
PANORAMA MIDDLE SCHOOL,980,HARRISON 2,M,False,6686,6,5,4,6,6,7,6,7,6,
HOEHNE ELEMENTARY SCHOOL,1600,HOEHNE REORGANIZED 3,E,False,4044,6,9,8,9,9,6,3,5,8,
ZERGER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,9800,6,6,6,6,6,6,6,5,6,
HUDSON ELEMENTARY SCHOOL,3090,KEENESBURG RE-3(J),E,False,4148,6,6,6,6,6,6,6,5,6,
LA VETA JUNIOR-SENIOR HIGH SCHOOL,1400,LA VETA RE-2,M,True,4864,6,6,5,6,,1,1,3,1,
OTIS JUNIOR-SENIOR HIGH SCHOOL,3050,OTIS R-3,M,False,6586,6,7,6,9,7,6,6,4,6,
SALIDA MIDDLE SCHOOL,500,SALIDA R-32,M,False,4680,6,6,6,6,6,6,6,6,7,
SANFORD ELEMENTARY SCHOOL,560,SANFORD 6J,E,False,7612,6,6,9,6,7,6,6,6,4,
SOUTH MIDDLE SCHOOL,180,ADAMS-ARAPAHOE 28J,M,False,8078,6,3,3,3,3,9,10,9,6,
NORTH FORK VISION SCHOOL,870,DELTA COUNTY 50(J),E,True,9146,5,5,5,3,,,,,,
NORTH FORK VISION SCHOOL,870,DELTA COUNTY 50(J),M,True,9146,5,7,2,8,6,10,11,6,12,
LETFORD ELEMENTARY SCHOOL,3110,JOHNSTOWN-MILLIKEN RE-5J,E,False,5078,6,6,9,6,6,6,6,7,3,
BROOMFIELD HEIGHTS MIDDLE SCHOOL,480,BOULDER VALLEY RE 2,M,False,1066,6,7,6,7,6,6,6,6,5,
TELLER ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,8776,6,6,7,6,6,6,9,6,5,
GLENWOOD SPRINGS MIDDLE SCHOOL,1180,ROARING FORK RE-1,M,False,3464,6,6,6,6,6,6,7,6,6,
STETSON ELEMENTARY SCHOOL,1110,FALCON 49,E,False,8266,6,7,9,9,7,5,5,5,5,
SPROUL JUNIOR HIGH SCHOOL,990,WIDEFIELD 3,M,False,8178,6,6,6,6,6,6,6,7,6,
CIMARRON MIDDLE,900,DOUGLAS COUNTY RE 1,M,False,264,6,9,6,9,7,5,5,5,4,
SIERRA GRANDE ELEMENTARY SCHOOL,740,SIERRA GRANDE R-30,E,False,7876,6,5,7,6,6,6,3,7,6,
KNAPP ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,4762,6,1,5,2,1,9,10,9,6,
DESERT SAGE ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,False,26,6,6,9,6,7,6,3,8,6,
GREENWOOD ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,True,3647,6,3,5,5,2,4,6,4,3,
GREENWOOD ELEMENTARY SCHOOL,880,DENVER COUNTY 1,M,True,3647,6,5,6,6,3,12,9,12,12,
BANNING LEWIS RANCH ACADEMY,1110,FALCON 49,E,False,555,6,6,7,7,6,5,3,6,5,
TRUSCOTT ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,False,8918,6,6,6,4,6,6,7,9,4,
CAPROCK ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,True,1279,6,8,6,7,9,5,6,3,5,
CAPROCK ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,True,1279,6,8,5,9,6,7,7,6,9,
LIBERTY MIDDLE SCHOOL,130,CHERRY CREEK 5,M,False,18,6,9,6,10,8,6,7,3,7,
PLACE BRIDGE ACADEMY,880,DENVER COUNTY 1,E,True,7045,6,1,2,1,1,10,8,12,9,
PLACE BRIDGE ACADEMY,880,DENVER COUNTY 1,M,True,7045,6,1,1,1,5,10,9,12,7,
BLEVINS MIDDLE SCHOOL,1550,POUDRE R-1,M,False,892,6,6,6,7,8,6,5,6,6,
CHERRY DRIVE ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,2576,6,5,6,5,5,6,6,6,6,
TRAYLOR ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,8888,6,6,6,6,5,6,6,6,7,
WYATT-EDISON CHARTER ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,True,9739,6,3,5,3,3,6,6,6,5,
WYATT-EDISON CHARTER ELEMENTARY SCHOOL,880,DENVER COUNTY 1,M,True,9739,6,5,3,5,2,12,13,13,6,
RIFLE MIDDLE SCHOOL,1195,GARFIELD RE-2,E,False,7356,6,6,6,6,6,8,9,7,6,
WITT ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,9678,6,6,6,6,6,6,5,6,5,
PETE MIRICH ELEMENTARY SCHOOL,3080,WELD COUNTY RE-1,E,False,4852,6,6,6,6,6,6,6,6,5,
RIDGWAY ELEMENTARY SCHOOL,2590,RIDGWAY R-2,E,False,7342,6,10,10,9,9,6,6,5,6,
LONGMONT ESTATES ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,False,5284,6,7,9,8,6,5,6,3,6,
CARLSON ELEMENTARY SCHOOL,540,CLEAR CREEK RE-1,E,False,4212,6,6,6,7,6,6,9,3,6,
HOWELL K-8 SCHOOL,880,DENVER COUNTY 1,E,True,4140,6,1,2,1,3,6,7,6,6,
HOWELL K-8 SCHOOL,880,DENVER COUNTY 1,M,True,4140,6,3,3,3,5,13,12,12,11,
SHELLEDY ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,False,7832,6,7,7,6,7,6,7,6,5,
EAST ELEMENTARY SCHOOL,2020,MOFFAT COUNTY RE:NO 1,E,False,2374,6,5,6,3,3,8,7,7,7,
BILL METZ ELEMENTARY SCHOOL,2740,MONTE VISTA C-8,E,False,6036,6,6,6,5,6,6,6,7,5,
NORTHSIDE ELEMENTARY SCHOOL,2180,MONTROSE COUNTY RE-1J,E,False,6366,6,5,6,5,6,6,6,9,3,
AKRON ELEMENTARY SCHOOL,3030,AKRON R-1,E,True,86,6,6,6,6,7,8,8,6,10,
AKRON ELEMENTARY SCHOOL,3030,AKRON R-1,M,True,86,6,6,6,7,5,5,3,6,3,
SAGEBRUSH ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,7559,6,6,7,6,6,6,6,5,6,
RIFLE MIDDLE SCHOOL,1195,GARFIELD RE-2,M,False,7356,6,5,3,6,6,6,7,5,9,
WINOGRAD K-8 ELEMENTARY SCHOOL,3120,GREELEY 6,E,False,53,6,6,7,6,6,6,7,5,6,
NEWTON MIDDLE SCHOOL,140,LITTLETON 6,M,False,4316,6,9,6,9,9,5,6,5,3,
FRUITA 8/9 SCHOOL,2000,MESA COUNTY VALLEY 51,M,False,361,6,6,3,6,6,6,6,6,6,
CENTENNIAL MIDDLE SCHOOL,2180,MONTROSE COUNTY RE-1J,M,False,1392,6,6,4,6,6,7,9,6,8,
VENETUCCI ELEMENTARY SCHOOL,990,WIDEFIELD 3,E,False,8122,6,6,6,6,6,6,6,6,6,
MERINO ELEMENTARY SCHOOL,1860,BUFFALO RE-4,E,False,5802,6,9,9,9,8,5,5,6,5,
STOTT ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,8300,6,6,6,6,6,6,6,8,3,
NORTH MOR ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,False,6355,6,4,5,3,5,8,6,9,7,
VALDEZ ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,True,408,6,1,3,1,1,6,11,2,8,
VALDEZ ELEMENTARY SCHOOL,880,DENVER COUNTY 1,M,True,408,6,5,1,6,,12,12,6,13,
L.W. ST. JOHN ELEMENTARY SCHOOL,1220,GARFIELD 16,E,False,3603,6,6,5,4,6,6,6,7,6,
WINGATE ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,False,9673,6,9,8,7,8,6,7,5,6,
HEATHERWOOD ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,False,3882,6,11,10,10,10,3,3,5,3,
GUNNISON ELEMENTARY SCHOOL,1360,GUNNISON WATERSHED RE1J,E,False,3690,6,6,6,6,6,6,6,6,6,
NAMAQUA ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,False,6194,6,7,7,7,7,6,6,6,5,
SUMMIT ELEMENTARY SCHOOL,3020,WOODLAND PARK RE-2,E,False,8379,6,7,8,7,7,6,5,6,6,
EAST MIDDLE SCHOOL,180,ADAMS-ARAPAHOE 28J,M,False,2384,6,3,2,2,5,9,10,7,6,
HIGHLINE COMMUNITY ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,3988,6,6,6,6,3,6,6,6,6,
SWINK JUNIOR-SENIOR HIGH SCHOOL,2570,SWINK 33,M,False,8456,6,6,5,6,6,6,6,6,6,
LUMBERG ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,5354,6,5,5,3,3,7,10,6,7,
EMERALD ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,False,2702,6,5,6,5,6,6,6,6,8,
INDEPENDENCE ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,False,4276,6,5,6,6,5,6,6,6,5,
CLEAR CREEK MIDDLE SCHOOL,540,CLEAR CREEK RE-1,M,False,1660,6,7,6,7,8,5,3,7,3,
MANN MIDDLE SCHOOL,1010,COLORADO SPRINGS 11,M,False,4090,6,6,5,6,6,7,7,6,6,
KAISER ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,False,4498,6,5,6,6,5,6,5,6,7,
DOS RIOS ELEMENTARY SCHOOL,3120,GREELEY 6,E,False,2222,6,5,6,5,5,6,5,7,6,
SHANNER ELEMENTARY SCHOOL,2670,HOLLY RE-3,E,False,7794,6,6,7,6,6,6,6,6,6,
SWANSON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,False,8432,6,6,6,5,6,6,7,9,3,
KNOWLEDGE QUEST ACADEMY,3110,JOHNSTOWN-MILLIKEN RE-5J,E,False,4785,6,7,7,6,7,5,6,3,6,
PARKVIEW ELEMENTARY SCHOOL,2660,LAMAR RE-2,E,False,6794,6,5,6,6,,6,6,6,5,
NORWOOD HIGH SCHOOL,2840,NORWOOD R-2J,M,False,6422,6,7,5,7,,5,3,6,6,
PEYTON ELEMENTARY SCHOOL,1060,PEYTON 23 JT,E,False,6898,6,8,9,7,9,5,6,2,6,
BOLTZ MIDDLE SCHOOL,1550,POUDRE R-1,M,False,898,6,7,6,8,7,6,5,6,6,
BEULAH HEIGHTS ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,False,860,6,6,7,7,6,6,6,6,7,
T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE,8001,CHARTER SCHOOL INSTITUTE,E,True,657,6,9,9,6,6,6,6,6,6,
T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE,8001,CHARTER SCHOOL INSTITUTE,M,True,657,6,,,,,,,,,
